,precision,recall,f1-score,support
ANGRY,0.6666666666666666,0.2222222222222222,0.3333333333333333,9
DISGUST,0.9230769230769231,1.0,0.9600000000000001,12
FEAR,0.6666666666666666,0.4,0.5,5
HAPPY,0.8,0.8571428571428571,0.8275862068965518,14
SAD,0.0,0.0,0.0,6
SURPRISE,1.0,0.9411764705882353,0.9696969696969697,17
NEUTRAL,0.8931297709923665,0.9831932773109243,0.9359999999999999,119
