,precision,recall,f1-score,support
ANGRY,0.5447019867549668,0.6868475991649269,0.6075715604801477,958
DISGUST,0.725,0.5225225225225225,0.607329842931937,111
FEAR,0.5527638190954773,0.4296875,0.48351648351648346,1024
HAPPY,0.8776443682104059,0.8652762119503946,0.871416406471757,1774
SAD,0.559025133282559,0.5886126704089816,0.5734375,1247
SURPRISE,0.8548387096774194,0.7015643802647413,0.7706543291473892,831
NEUTRAL,0.6118518518518519,0.6699107866991079,0.6395663956639567,1233
